1           1
0.000000000000000E+00  0.197254324686136E-15  0.173205080756888E+01

2           3
-.609557287679815E+00  -.239885080985088E+00  0.484539934143136E+00
0.412686207282224E+00  -.353874522577888E+00  0.624562510681670E+00
0.603685899731854E-01  0.541378197294521E+00  0.622948362744072E+00

3           4
-.614255277837192E+00  -.130954185080447E+00  0.293782995197809E+00
-.301534749446130E+00  -.428076035590041E+00  0.345439661108124E+00
0.151892953216610E-01  0.566609157850510E+00  0.572380093529979E+00
0.530169654057530E+00  -.265097058824749E+00  0.520448057732966E+00

4           6
-.306076900155646E+00  -.558722713413860E+00  0.203123970123471E+00
0.330829613409952E+00  0.544431727753313E+00  0.203123970123471E+00
-.169274561567197E+00  0.821133887024354E+00  0.157816190742157E+00
-.795760086854950E+00  -.263970872980511E+00  0.157816190742157E+00
0.597305098805399E+00  -.344854259583633E+00  0.374808139694481E+00
-.120568350670538E+00  0.696101697153846E-01  0.635362346143141E+00

5           7
0.410426192315345E+00  0.236959672615738E+00  0.229313399254730E+00
0.696140478029631E+00  -.401916892384202E+00  0.218133059367231E+00
-.410426192315345E+00  0.236959672615738E+00  0.229313399254730E+00
0.000000000000000E+00  0.803833784768405E+00  0.218133059367231E+00
0.000000000000000E+00  -.473919345231475E+00  0.229313399254730E+00
0.000000000000000E+00  0.197254324686136E-15  0.389711431702997E+00
-.696140478029631E+00  -.401916892384202E+00  0.218133059367231E+00

6          11
0.335810010027303E+00  -.182442420654030E+00  0.313765186470910E+00
0.614488293875724E+00  0.860540155227438E-01  0.732537829249861E-01
-.635341810904099E+00  -.751871457528106E-01  0.119689350385263E+00
0.334263576081031E+00  -.575110947221701E+00  0.702837169161657E-01
0.188807350486318E+00  0.465779588333045E+00  0.239157441983638E+00
-.231333267487471E+00  0.631429174410796E+00  0.122117727460611E+00
-.261004056287640E+00  -.415210395811866E+00  0.237031341386422E+00
0.368727551857120E-01  0.954301544589118E+00  0.728999527679103E-01
-.222667492777760E+00  0.110916034014076E+00  0.287494298848245E+00
-.789509764306905E+00  -.482730161738914E+00  0.934228270036576E-01
0.798740301068254E+00  -.447693276033049E+00  0.102935181421069E+00

7          12
0.356222695318569E+00  -.517898832554331E+00  0.996796721871127E-01
-.802582000757766E+00  -.469301016554891E+00  0.918576800688282E-01
-.626624893241639E+00  -.495484872732783E-01  0.996796721871127E-01
0.807717602737280E+00  -.460405892998921E+00  0.918576800688282E-01
0.238126167377200E+00  -.219783104702494E+00  0.233803258131452E+00
0.712746683063754E-01  0.316114862605728E+00  0.233803258131452E+00
0.568046592834165E+00  -.204916150778924E-01  0.152009658802233E+00
-.301769555639110E+00  -.481696972388636E+00  0.152009658802233E+00
-.309400835683575E+00  -.963317579032331E-01  0.233803258131452E+00
0.270402197923070E+00  0.567447319827611E+00  0.996796721871127E-01
-.513560197951402E-02  0.929706909553813E+00  0.918576800688282E-01
-.266277037195055E+00  0.502188587466529E+00  0.152009658802233E+00

8          16
-.704195345797990E+00  -.104239392719159E+00  0.513081841470680E-01
0.706381815390640E+00  -.118138107546095E+00  0.540298240038172E-01
0.266619320989809E+00  0.681324471214760E+00  0.428084188139225E-01
-.252093893103379E+00  0.697398078062276E+00  0.443649887550419E-01
-.487483904545224E+00  -.561247819542370E+00  0.469239403823257E-01
0.371751127820241E+00  0.219571431980432E+00  0.166001540693257E+00
0.471852163121944E+00  -.568394851080884E+00  0.436970626072735E-01
-.110152745539438E-02  -.209184187929185E-02  0.249886874537728E+00
0.477320099427568E+00  -.291286011012931E+00  0.179492205068759E+00
-.485597686198469E+00  -.276779825860536E+00  0.178938130345838E+00
-.992912256606093E-02  -.442847853994171E+00  0.162769350392069E+00
-.850269504152795E+00  -.485731878132602E+00  0.563679449831612E-01
0.848395254033485E+00  -.488040546018539E+00  0.567535496108059E-01
0.704793718875329E-02  0.574718740582227E+00  0.177669098961305E+00
-.363343195767890E+00  0.237972394945386E+00  0.165679658232601E+00
0.205455062040416E-02  0.980931300091335E+00  0.553600360339032E-01

9          19
-.896665521532753E+00  -.571909064351782E+00  0.132919639790532E-01
-.818240236127916E+00  -.399821753320526E+00  0.575789738808338E-01
-.606142392063337E+00  -.234880640181185E-01  0.827969396673941E-01
-.136211420625195E+00  0.857958896790629E+00  0.342435792056780E-01
-.345280486156236E+00  0.435072185448683E+00  0.796415569292545E-01
-.518006338500122E+00  -.512891649791710E+00  0.733976091430682E-01
-.792516529832921E-02  -.510929610971635E+00  0.912832337526525E-01
0.472539774397436E+00  0.204514792309361E+00  0.904504972297859E-01
0.230069413660248E-01  0.100956429451664E+01  0.357841483856219E-01
0.209161786033645E+00  0.663276952890197E+00  0.792924551341441E-01
0.866482250393814E+00  -.507024538403675E+00  0.416666197040912E-01
0.454231559600074E+00  -.221204690296263E+00  0.139990934387733E+00
0.507075348718945E+00  -.505429896444805E+00  0.840995078947475E-01
0.732587029982891E+00  -.226873490729280E+00  0.622031869897811E-01
-.227003055018016E+00  0.133140691644593E+00  0.166277944673667E+00
0.147375089607866E-01  -.241018137483339E+00  0.172832309452247E+00
-.448499337613544E+00  -.266013195204155E+00  0.130360161899390E+00
0.174368911325568E+00  0.194789449868474E+00  0.174816811253065E+00
-.389011158813251E-01  0.610105970092975E+00  0.122042374006670E+00

10          24
0.329175531208091E+00  -.441597011167591E-01  0.133649742135771E+00
-.195530453869784E+00  0.296217375270747E+00  0.120840343062487E+00
-.519715550899122E+00  -.717759444467035E-01  0.115499868701674E+00
-.975062107655543E-01  -.593577797395176E-01  0.158122723703072E+00
0.150511549391765E+00  0.328437692591332E+00  0.126000326117441E+00
-.693996836790677E+00  -.487218125185441E-01  0.218557163748813E-01
-.175065585736572E-01  0.669062190376511E+00  0.824651320959480E-01
-.170056516539788E+00  0.764458350174909E+00  0.482611988990186E-01
0.758609761516349E-01  -.360316345223311E+00  0.121393535609396E+00
-.394935998811352E+00  0.366151318950509E+00  0.653477651634195E-01
0.505482029336703E+00  -.346579480049743E+00  0.920765698811493E-01
0.953688647157987E+00  -.504574491262159E+00  0.101956732642839E-01
0.778646809430804E+00  -.521114377420583E+00  0.437582112469179E-01
-.425509271297466E+00  -.357061863419909E+00  0.113678342784211E+00
-.954995491777240E+00  -.570418155888527E+00  0.725087026374317E-02
-.812124306909459E+00  -.397649310631852E+00  0.571244375253169E-01
-.363449712727298E-01  0.106718665573982E+01  0.125346359013242E-01
0.364699836601086E+00  -.537102370784325E+00  0.536147399854161E-01
0.735348333197695E+00  -.249037378737576E+00  0.651215810290329E-01
-.659612203583872E+00  -.537503409217384E+00  0.410745901950647E-01
0.671287428752183E-01  0.931993787394304E+00  0.405278386570621E-01
-.177746051998828E+00  -.534529014595919E+00  0.589780633957616E-01
0.509902979098264E+00  0.150608974312566E+00  0.773807562193028E-01
0.264870659989410E+00  0.586927156185341E+00  0.652981453571830E-01

11          27
0.358155830393540E+00  -.299323302040180E+00  0.802027006449282E-01
0.638301246772273E+00  -.312479278754760E+00  0.687171381454659E-01
-.700280135859426E+00  -.152750338571379E+00  0.480766564869065E-01
0.108898092052310E+00  -.333760948481838E+00  0.788608496610595E-01
-.911641137571585E+00  -.560962074201811E+00  0.103334353126670E-01
-.479138803346694E+00  0.223830405321900E+00  0.583129246213054E-01
-.263010385797870E+00  0.608362960664506E+00  0.473817016363881E-01
-.228190692073313E+00  -.527803062687436E+00  0.560437254242531E-01
-.253134551543155E+00  -.323068286830703E+00  0.106778393718199E+00
0.226609354466156E+00  -.527165122189034E+00  0.568768294396824E-01
0.629621755333215E+00  -.522327322103537E+00  0.488402291267380E-01
-.630465324655331E+00  -.530370193547345E+00  0.410183990317467E-01
0.382170057194452E+00  0.391104879804345E+00  0.607783812258766E-01
-.110980538291377E+00  0.956057872981882E+00  0.123650175706588E-01
-.617915290501345E+00  -.354647636344158E+00  0.705709592512608E-01
-.398525931737468E+00  -.366511204275899E-01  0.114880643983216E+00
0.358969167653478E+00  0.365283388052224E-01  0.120051106129524E+00
-.869515449778353E+00  -.438768754271144E+00  0.268468351371410E-01
0.617944375343442E+00  -.106953719441198E-01  0.533465206034250E-01
0.179048538729250E-01  0.104323002115255E+01  0.210231347738369E-01
0.827381677818529E+00  -.343030187694858E+00  0.260610292471264E-01
-.181323853622064E+00  0.350999168181378E+00  0.115285565447535E+00
-.365643198180687E-02  0.392153636233547E-02  0.149839433343827E+00
0.903231227530335E+00  -.531139900673621E+00  0.207796179689851E-01
0.127189313947632E+00  0.423953672175309E+00  0.117946049399689E+00
0.164565314867784E+00  0.772373827022921E+00  0.479544300006862E-01
-.408529056691777E-01  0.767693927738279E+00  0.728791002367500E-01

12          32
-.515253278851165E+00  -.188643550569607E+00  0.694446760553822E-01
-.638913719142849E+00  -.395337112975015E+00  0.487172720664759E-01
-.357099125455575E+00  0.106248547049828E+00  0.870503413721462E-01
0.634160292964028E+00  -.288689504598508E+00  0.632316014858007E-01
0.468833505891874E+00  -.401086912890474E+00  0.633266168777076E-01
-.300213445620757E+00  -.394755650333472E+00  0.803741743739836E-01
-.163821403999837E+00  0.420462957034052E+00  0.865743859094109E-01
0.575473856561977E-01  0.969704926690345E+00  0.272203952036094E-01
-.698407077819541E+00  -.537843524007648E+00  0.294483312279676E-01
0.219006652599750E+00  0.687070369913459E+00  0.435482989932421E-01
0.849838764647310E+00  -.384974066564372E+00  0.247907292837160E-01
0.202847196719496E+00  0.379668941140153E+00  0.926964670932021E-01
-.459964472371785E+00  0.274277699256469E+00  0.455366241291746E-01
-.174868312894035E-01  0.111082633576006E+01  0.507944466003536E-02
0.248259523646507E+00  -.120711760167904E+00  0.105125193862050E+00
0.103145300207548E+00  -.362613643388533E+00  0.877128171213489E-01
0.149342988660579E-01  0.167187003367224E+00  0.108720242114466E+00
-.665144656553520E+00  -.857201814030051E-01  0.434238465896594E-01
0.113903132304765E-01  0.686832050558696E+00  0.743947276359678E-01
-.253498580550574E+00  0.623878633838853E+00  0.436250742999376E-01
-.909912971819689E-01  0.902980342466476E+00  0.317381223983316E-01
0.437631653444778E+00  0.319577076513521E+00  0.448913910695337E-01
-.159450701882059E+00  -.129063743364652E+00  0.110949849522593E+00
0.666938320806989E+00  -.694597678934810E-01  0.374562201111194E-01
0.496519369086995E+00  -.543370851469218E+00  0.333908362566645E-01
0.817588111364027E-01  -.533924786104867E+00  0.474259627390032E-01
0.986319230248955E+00  -.555766740596096E+00  0.339380396696508E-02
-.344072125949980E+00  -.543769988983693E+00  0.351704947627901E-01
-.831651928501598E+00  -.373546483705388E+00  0.299356310884705E-01
0.432707982492153E+00  0.393920392835904E-01  0.822439441342480E-01
0.810578643403301E+00  -.527067822364249E+00  0.316943439488691E-01
-.923176334486818E+00  -.539427058877073E+00  0.137189472150058E-01

13          36
0.414423086097540E+00  -.575983050904321E+00  0.928138043195609E-02
0.394947718970846E+00  -.490505290515468E+00  0.516225335020457E-01
0.766194949139734E-01  0.367466791995024E+00  0.872807314667081E-01
0.192967028752373E+00  0.317431615500770E-02  0.968828569222573E-01
-.597306650613568E+00  -.100483160223949E+00  0.539150958383032E-01
-.154352115846446E-02  -.424989944611269E+00  0.670657560437430E-01
0.267888840116121E+00  0.658019572145072E+00  0.175373463370231E-01
-.381474080861015E+00  -.143777085929408E+00  0.835541222912002E-01
-.626886421590399E-01  -.198912362320953E+00  0.935349443538750E-01
-.122212894155346E+00  0.119881872018809E+00  0.954511390284434E-01
